f1,f2,ov_current,ov_fixed,ov_float,ia1_fixed,ia2_fixed,ia1_float,ia2_float,bbox_area,cf1_fixed_v,cf1_float_v,cf2_fixed_v,cf2_float_v,cf1_raw_area2,cf2_raw_area2,cf1_float_over,cf2_float_over,notes
0,1,0,0,0,0.000000,0.000000,0.000000,0.000000,90.000000,0,0,0,0,0,0,0,0,
0,43,0,0,0,0.000000,80.555817,0.000000,0.000000,48.000000,0,0,3,0,0,-691969196032,0,1,
0,44,1,1,0,21.666641,1032.399274,0.000000,262.103717,90.000000,4,0,3,3,-186115031040,8868242233753,1,0,ov_fixed!=ov_float
0,45,0,1,1,78.186962,327.305893,0.000000,25.785569,90.000000,3,0,3,3,-671620886040,2811536211968,1,0,cur!=fixed
0,50,0,0,0,327.305893,327.305893,25.785569,25.785569,24.000000,3,3,3,3,2811536211968,58>9<9>0000,0,0,
1,4,0,0,0,327.305893,327.305893,25.785569,25.785569,24.000000,3,3,3,3,2811536211968,2811536211968,0,0,
1,43,0,0,1,327.305893,327.305893,25.785569,25.785569,80.000000,3,3,3,3,2811536211968,2811536211968,0,0,ov_fixed!=ov_float
1,44,0,0,1,327.305893,327.305893,25.785569,25.785569,150.000000,3,3,3,3,2811536211968,2811536211968,0,0,ov_fixed!=ov_float
1,45,0,0,1,210.070390,0.000000,0.000000,42.616837,150.000000,6,0,3,4,1804490908948,0,1,0,ov_fixed!=ov_float
1,50,0,0,0,0.000000,0.000000,42.616837,42.616837,24.000000,3,4,3,4,0,0,0,0,
3,4,0,0,0,0.000000,0.000000,42.616837,42.616837,36.000000,3,4,3,4,0,0,0,0,
3,7,0,0,0,0.000000,46.958843,42.616837,0.000000,6.000000,3,4,3,0,0,403373393207,0,1,
3,9,1,1,0,49.429181,49.429181,0.000000,0.000000,54.000000,4,0,4,0,424593429934,424593429934,1,1,ov_fixed!=ov_float
3,43,0,1,0,49.429181,49.429181,0.000000,0.000000,108.000000,4,0,4,0,424593429934,424593429934,1,1,ov_fixed!=ov_float;cur!=fixed
3,44,1,1,0,35.466614,35.466614,0.000000,0.000000,108.000000,4,0,4,0,304655892480,304655892480,1,1,ov_fixed!=ov_float
3,45,0,1,1,62.218712,1322.598480,0.000000,19.959961,108.000000,3,0,4,3,534454663860,11361034432770,1,0,cur!=fixed
3,50,0,0,1,1322.598480,1322.598480,19.959961,19.959961,36.000000,4,3,4,3,11361034432770,11361034432770,0,0,ov_fixed!=ov_float
4,7,0,0,1,1322.598480,1322.598480,19.959961,19.959961,30.000000,4,3,4,3,11361034432770,11361034432770,0,0,ov_fixed!=ov_float
4,9,1,0,0,44.262783,44.262783,0.000000,0.000000,42.000000,3,0,3,0,-380214412113,-380214412113,1,1,cur!=fixed
4,43,0,1,0,44.262783,44.262783,0.000000,0.000000,126.000000,3,0,3,0,-380214412113,-380214412113,1,1,ov_fixed!=ov_float;cur!=fixed
4,44,0,1,0,44.262783,44.262783,0.000000,0.000000,126.000000,3,0,3,0,-380214412113,-380214412113,1,1,ov_fixed!=ov_float;cur!=fixed
4,45,0,1,0,44.262783,44.262783,0.000000,0.000000,126.000000,3,0,3,0,-380214412113,-380214412113,1,1,ov_fixed!=ov_float;cur!=fixed
6,7,0,0,0,44.262783,44.262783,0.000000,0.000000,15.000000,3,0,3,0,-380214412113,-380214412113,1,1,
