total_pairs,96
divergent_pairs,ov_fixed!=ov_float,35
cur_vs_fixed,26
override_changed (current!=fixed),26

Top 20 divergences (diff, f1,f2,ov_fixed,ov_float,ia1_fixed,ia1_float,ia2_fixed,ia2_float,notes):
1,5231.512154,9,43,0,0,2615.756077,0.000000,2615.756077,0.000000,
2,3959.648274,7,43,0,0,1867.844258,0.000000,2091.804016,0.000000,
3,3552.255224,13,60,0,0,1776.127612,0.000000,1776.127612,0.000000,
4,3552.255224,15,18,0,0,1776.127612,0.000000,1776.127612,0.000000,
5,3552.255224,19,20,0,0,1776.127612,0.000000,1776.127612,0.000000,
6,3552.255224,19,21,0,0,1776.127612,0.000000,1776.127612,0.000000,
7,3552.255224,19,26,0,0,1776.127612,0.000000,1776.127612,0.000000,
8,3552.255224,19,27,0,0,1776.127612,0.000000,1776.127612,0.000000,
9,3552.255224,20,21,0,0,1776.127612,0.000000,1776.127612,0.000000,
10,3552.255224,20,26,0,0,1776.127612,0.000000,1776.127612,0.000000,
11,3402.155886,36,45,0,0,187.038831,0.000000,3215.117055,0.000000,
12,3382.663116,9,45,0,0,3382.663116,0.000000,0.000000,0.000000,
13,2701.602827,7,45,1,0,85.846750,0.000000,2615.756077,0.000000,ov_fixed!=ov_float;cur!=fixed
14,2605.277038,3,50,0,1,1322.598480,19.959961,1322.598480,19.959961,ov_fixed!=ov_float
15,2605.277038,4,7,0,1,1322.598480,19.959961,1322.598480,19.959961,ov_fixed!=ov_float
16,2462.56498,12,43,1,0,2411.686481,0.000000,50.878499,0.000000,ov_fixed!=ov_float;cur!=fixed
17,2246.401513,7,44,0,0,0.524560,0.000000,2245.876953,0.000000,
18,1901.9980580000001,7,9,1,0,34.153800,0.000000,1867.844258,0.000000,ov_fixed!=ov_float
19,1364.8572310000002,3,45,1,1,62.218712,0.000000,1322.598480,19.959961,cur!=fixed
20,1322.783478,9,44,1,0,1322.783478,0.000000,0.000000,0.000000,ov_fixed!=ov_float
